what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1784428140553
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1784428140932
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1784428141385
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1784428142087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428152408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428246552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428247520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428310496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428311228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428324384
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1784428327696
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1784428327907
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1784428331760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428331791
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1784428332556
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1784428332603
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1784428332603
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1784428332603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428347978
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1784428350373
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1784428350380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428351329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428361071
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1784428371041
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1784428376541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428376854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428377046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428379290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428408681
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1784428408724
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1784428412040
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1784428412340
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1784428412371
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1784428415830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428462712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784428465227
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1784428465783
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1784428468822
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1784428471495
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1784428474712
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1784428485307
